Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Avg Pace_min,time_in_minutes,year,month,day
Running,2023-12-28 11:24:00,1.11,65.0,2024-08-12 00:10:30,116.0,130.0,147.0,181.0,,,9.0,20.0,0.73,2.0,2024-08-12 00:10:10,2024-08-12 00:10:30,96.0,116.0,,,2023,12,28
Running,2023-12-28 06:45:00,10.39,635.0,2024-08-12 00:58:59,154.0,167.0,177.0,186.0,,,28.0,148.0,0.99,11.0,2024-08-12 00:58:46,2024-08-12 00:58:59,-64.0,62.0,,,2023,12,28
Running,2023-12-27 17:25:00,7.41,351.0,2024-08-12 00:39:43,137.0,162.0,176.0,200.0,,,18.0,61.0,1.06,8.0,2024-08-12 00:37:57,2024-08-12 00:39:43,38.0,93.0,,,2023,12,27
Running,2023-12-26 17:19:00,4.4,254.0,2024-08-12 00:25:32,145.0,160.0,180.0,198.0,,,19.0,64.0,0.96,5.0,2024-08-12 00:25:19,2024-08-12 00:25:32,58.0,104.0,,,2023,12,26
Running,2023-12-22 06:52:00,8.21,493.0,2024-08-12 00:47:15,152.0,168.0,181.0,191.0,,,50.0,211.0,0.96,9.0,2024-08-12 00:47:10,2024-08-12 00:47:15,-30.0,136.0,,,2023,12,22
Running,2023-12-21 18:07:00,4.22,233.0,2024-08-12 00:23:12,143.0,163.0,182.0,200.0,,,96.0,230.0,1.0,5.0,2024-08-12 00:23:11,2024-08-12 00:23:12,-54.0,160.0,,,2023,12,21
Running,2023-12-20 20:52:00,5.21,290.0,2024-08-12 00:30:24,141.0,160.0,170.0,189.0,,,24.0,80.0,1.01,6.0,2024-08-12 00:30:23,2024-08-12 00:30:24,85.0,154.0,,,2023,12,20
Running,2023-12-19 06:45:00,5.41,350.0,2024-08-12 00:33:41,152.0,164.0,171.0,183.0,,,10.0,81.0,0.94,6.0,2024-08-12 00:33:33,2024-08-12 00:33:41,40.0,116.0,,,2023,12,19
Running,2023-12-17 07:55:00,8.19,450.0,2024-08-12 00:40:50,157.0,180.0,178.0,196.0,,,22.0,105.0,1.13,9.0,2024-08-12 00:40:47,2024-08-12 00:40:50,-52.0,43.0,,,2023,12,17
Running,2023-12-15 06:43:00,5.16,271.0,2024-08-12 00:28:53,139.0,158.0,172.0,183.0,,,4.0,82.0,1.04,6.0,2024-08-12 00:28:43,2024-08-12 00:28:53,78.0,161.0,,,2023,12,15
